1	SCRG_00001	Supercontig_1.1	-	2	3316	2	3316	2	2,3297,	3160,3316,	0	SCRT_00001	cmpl	cmpl	1,0,	:conserved_hypothetical_protein
2	SCRG_00002	Supercontig_1.1	+	3778	3844	3778	3844	1	3778,	3844,	0	SCRT_00002	cmpl	cmpl	0,	:hypothetical_protein
3	SCRG_00003	Supercontig_1.1	-	5605	5965	5605	5965	1	5605,	5965,	0	SCRT_05708	cmpl	cmpl	0,	:protein_PAU4
4	SCRG_00004	Supercontig_1.1	+	8489	9521	8489	9521	1	8489,	9521,	0	SCRT_00004	cmpl	cmpl	0,	:NADPH-dependent_methylglyoxal_reductase_GRE2
5	SCRG_00005	Supercontig_1.1	+	11458	11995	11458	11995	1	11458,	11995,	0	SCRT_00005	cmpl	cmpl	0,	:conserved_hypothetical_protein
6	SCRG_00006	Supercontig_1.1	-	15535	17044	15535	17044	1	15535,	17044,	0	SCRT_00006	cmpl	cmpl	0,	:conserved_hypothetical_protein
7	SCRG_00007	Supercontig_1.1	-	17510	18236	17510	18236	1	17510,	18236,	0	SCRT_00007	cmpl	cmpl	0,	PAD1:phenylacrylic_acid_decarboxylase
8	SCRG_00008	Supercontig_1.1	-	19426	21133	19426	21133	1	19426,	21133,	0	SCRT_00008	cmpl	cmpl	0,	STL1:sugar_transporter
10	SCRG_00009	Supercontig_1.1	+	24188	25835	24188	25835	2	24188,25336,	25222,25835,	0	SCRT_00009	cmpl	cmpl	0,2,	FIT1:cell_wall_protein_involved_in_iron_uptake
11	SCRG_00010	Supercontig_1.1	+	26988	27699	26988	27699	1	26988,	27699,	0	SCRT_00010	cmpl	cmpl	0,	HSP31:protein_SNO4
12	SCRG_00011	Supercontig_1.1	+	28596	29751	28596	29751	1	28596,	29751,	0	SCRT_00011	cmpl	cmpl	0,	:conserved_hypothetical_protein
13	SCRG_00012	Supercontig_1.1	-	29817	30918	29817	30918	1	29817,	30918,	0	SCRT_00012	cmpl	cmpl	0,	:hypothetical_protein_similar_to_pantothenate_kinase
14	SCRG_00013	Supercontig_1.1	+	31381	32356	31381	32356	1	31381,	32356,	0	SCRT_00013	cmpl	cmpl	0,	APA2:5',5'-P-1,P-4-tetraphosphate_phosphorylase_II
15	SCRG_00014	Supercontig_1.1	+	32601	32982	32601	32982	1	32601,	32982,	0	SCRT_00014	cmpl	cmpl	0,	QCR7:ubiquinol_cytochrome_C_oxidoreductase_subunit_7
16	SCRG_00015	Supercontig_1.1	-	33296	34567	33296	34567	1	33296,	34567,	0	SCRT_00015	cmpl	cmpl	0,	HLR1:conserved_hypothetical_protein
17	SCRG_00016	Supercontig_1.1	-	36732	38049	36732	38049	1	36732,	38049,	0	SCRT_00016	cmpl	cmpl	0,	RBA50:conserved_hypothetical_protein
18	SCRG_00017	Supercontig_1.1	-	38308	38545	38308	38545	1	38308,	38545,	0	SCRT_00017	cmpl	cmpl	0,	SNA2:conserved_hypothetical_protein
19	SCRG_00018	Supercontig_1.1	+	39342	39540	39342	39540	1	39342,	39540,	0	SCRT_00018	cmpl	cmpl	0,	:predicted_protein
20	SCRG_00019	Supercontig_1.1	-	39651	39738	39651	39738	1	39651,	39738,	0	SCRT_00019	cmpl	cmpl	0,	:predicted_protein
21	SCRG_00020	Supercontig_1.1	+	40149	41595	40149	41595	1	40149,	41595,	0	SCRT_00020	cmpl	cmpl	0,	AGE1:ARF_GAP_with_effector_function(s)
22	SCRG_00021	Supercontig_1.1	+	42101	43571	42101	43571	1	42101,	43571,	0	SCRT_00021	cmpl	cmpl	0,	SPS1:sporulation-specific_protein_1
23	SCRG_00022	Supercontig_1.1	+	43837	45343	43837	45343	1	43837,	45343,	0	SCRT_00022	cmpl	cmpl	0,	SPS2:sporulation-specific_protein_2_precursor
24	SCRG_00023	Supercontig_1.1	+	45737	48053	45737	48053	1	45737,	48053,	0	SCRT_00023	cmpl	cmpl	0,	:hypothetical_protein_similar_to_pyrimidine_regulating_protein
25	SCRG_00024	Supercontig_1.1	-	48311	48716	48311	48716	1	48311,	48716,	0	SCRT_00024	cmpl	cmpl	0,	FPR2:FK506-binding_protein_2_precursor
26	SCRG_00025	Supercontig_1.1	-	48982	50533	48982	50533	1	48982,	50533,	0	SCRT_00025	cmpl	cmpl	0,	EUG1:protein_disulfide-isomerase_EUG1_precursor
27	SCRG_00026	Supercontig_1.1	-	50786	51902	50786	51902	1	50786,	51902,	0	SCRT_00026	cmpl	cmpl	0,	GRH1:conserved_hypothetical_protein
28	SCRG_00027	Supercontig_1.1	+	52662	54162	52662	54162	1	52662,	54162,	0	SCRT_00027	cmpl	cmpl	0,	EMI2:glucokinase
29	SCRG_00028	Supercontig_1.1	-	54368	55709	54368	55709	1	54368,	55709,	0	SCRT_00028	cmpl	cmpl	0,	SLF1:protein
30	SCRG_00029	Supercontig_1.1	+	56138	57587	56138	57587	1	56138,	57587,	0	SCRT_00029	cmpl	cmpl	0,	:conserved_hypothetical_protein
31	SCRG_00030	Supercontig_1.1	-	57700	58129	57700	58129	1	57700,	58129,	0	SCRT_00030	cmpl	cmpl	0,	GRX2:glutaredoxin
32	SCRG_00031	Supercontig_1.1	+	58082	58644	58082	58644	1	58082,	58644,	0	SCRT_00031	cmpl	cmpl	0,	EMI1:early_meiotic_induction_protein_1
33	SCRG_00032	Supercontig_1.1	-	58730	59129	58730	59129	1	58730,	59129,	0	SCRT_00032	cmpl	cmpl	0,	ACN9:acetate_non-utilizing_protein_9,_mitochondrial_precursor
34	SCRG_00033	Supercontig_1.1	-	59443	59746	59443	59746	1	59443,	59746,	0	SCRT_00033	cmpl	cmpl	0,	SMT3:hypothetical_protein_similar_to_Smt3p
35	SCRG_00034	Supercontig_1.1	+	60700	62689	60700	62689	1	60700,	62689,	0	SCRT_00034	cmpl	cmpl	0,	GNP1:high_affinity_glutamine_permease
36	SCRG_00035	Supercontig_1.1	+	63355	66781	63355	66781	1	63355,	66781,	0	SCRT_00035	cmpl	cmpl	0,	GIN4:serine/threonine_kinase
37	SCRG_00036	Supercontig_1.1	+	67930	69754	67930	69754	1	67930,	69754,	0	SCRT_00036	cmpl	cmpl	0,	:conserved_hypothetical_protein
